"slug","title","shortDescription","category","thumbnail","isPro","tags","level","rating","reviewCount","videoCount","duration","learners","instructorName","instructorTitle","overviewDescription","whyThisProject","problemStatement","businessProblemIndustry","businessProblemStat","architectureDescription","architectureNotes","sampleSchema","apiAuthNote","apiExample","learningObjectivesClosing","whatYoullBuildJson","painPointsJson","targetUsersJson","learningObjectivesJson","productRequirementsJson","userJourneyJson","edgeCasesJson","layersJson","serviceCommunicationJson","databaseDesignJson","apiDocumentationJson","folderStructureJson","namingConventionsJson","faqsJson","resourceFilesJson"
"ecommerce-platform","E-Commerce Platform with Next.js 14, Stripe & PostgreSQL","Build a production-ready store with cart management, Stripe Checkout, admin dashboard, real-time inventory, and email notifications.","Full Stack","/images/projects/ecommerce-platform/thumbnail.jpeg","TRUE","Next.js;TypeScript;PostgreSQL;Stripe;Prisma","Intermediate","4.9","2841","86","42h 30m","12,840","Alex Chen","Sr. Full-Stack Engineer, ex-Shopify","Build a production-ready store with cart management, Stripe Checkout, admin dashboard, real-time inventory, and email notifications.","E-commerce touches payments, real-time inventory, authentication, caching, and deployment — all in a single, portfolio-ready build.","Every mid-sized D2C brand faces the same inflection point: their Shopify plan can no longer handle the customisation they need, and a fully custom build feels too risky. They need engineers who understand both trade-offs and business context.","Direct-to-Consumer (D2C) e-commerce. Global market size: $5.8T by 2026. Extreme sensitivity to checkout UX and reliability.","CartFlow Inc. loses $85K/month to cart abandonment during flash sales — caused by payment failures, race conditions on inventory, and session timeouts. Engineering owns the fix.","A three-tier architecture with a Next.js monolith, PostgreSQL as the source of truth, and Redis for ephemeral state. Stripe communicates asynchronously via webhooks.","We deliberately chose a monolith over microservices. The architecture is designed so that checkout and inventory services can be extracted if needed.","model Product {
  id       String  @id @default(cuid())
  name     String
  stockQty Int     @default(0)
  price    Decimal @db.Decimal(10, 2)
  version  Int     @default(1) // optimistic lock
}","Authorization: Bearer token header. Errors follow RFC 7807 Problem Details.","// Request
{ ""cartId"": ""cart_abc"", ""idempotencyKey"": ""uuid_v4"" }

// Response 200
{ ""url"": ""https://checkout.stripe.com/c/pay/..."" }","Engineers who complete production-grade e-commerce projects are consistently ranked in the top 10% of full-stack candidates at companies like Shopify, Stripe, and Square.","[""Product catalog with full-text search and filter (category, price, stock)"",""Shopping cart with Redis session persistence across devices"",""Stripe Checkout with webhook idempotency and retry safety"",""Admin dashboard: inventory management, order status, revenue charts"",""NextAuth.js v5 with Google & GitHub OAuth + email magic links"",""Transactional email via Resend: order confirmation, shipping updates""]","[{""title"":""Race conditions"",""desc"":""Two users buying the last item simultaneously results in overselling, refunds, and support tickets.""},{""title"":""Duplicate charges"",""desc"":""Network retries hit the payment API twice. Without idempotency keys, customers are charged twice.""},{""title"":""Lost cart state"",""desc"":""Server restart clears in-memory sessions. Users return to an empty cart with no recourse.""},{""title"":""No observability"",""desc"":""Failures are silent. No structured logging, no Sentry, no p95 latency dashboards.""}]","[{""title"":""Shoppers"",""desc"":""Browse products, add to cart, checkout securely""},{""title"":""Admins"",""desc"":""Manage inventory, view orders, handle refunds""}]","[{""category"":""Frontend"",""items"":[""React Server Components & streaming"",""App Router layouts and loading UI"",""Optimistic UI updates with useOptimistic""]},{""category"":""Backend"",""items"":[""Next.js API routes with TypeScript"",""Middleware for auth guards"",""Webhook signature verification""]},{""category"":""Database"",""items"":[""Postgres schema design for e-commerce"",""Prisma relations and migrations"",""Query optimisation with explain analyse""]},{""category"":""Auth"",""items"":[""NextAuth.js v5 session strategy"",""OAuth flow with Google & GitHub"",""Role-based access control (RBAC)""]},{""category"":""Payments"",""items"":[""Stripe PaymentIntent lifecycle"",""Webhook idempotency with Redis"",""Refunds and partial captures""]},{""category"":""Deploy"",""items"":[""Vercel production deployment"",""Environment variable management"",""Sentry error monitoring + alerts""]}]","{""core"":[{""feature"":""User Registration & Login"",""spec"":""Email/password + OAuth"",""priority"":""Must""},{""feature"":""Product Catalog"",""spec"":""List, search, filter by category/price"",""priority"":""Must""},{""feature"":""Shopping Cart"",""spec"":""Add/remove/update qty, persist via Redis"",""priority"":""Must""},{""feature"":""Checkout"",""spec"":""Stripe Checkout with idempotency key"",""priority"":""Must""},{""feature"":""Order History"",""spec"":""Users can view past orders with status"",""priority"":""Must""},{""feature"":""Admin Dashboard"",""spec"":""CRUD products, view orders, update status"",""priority"":""Must""}],""optional"":[""Wishlist / save for later"",""Product reviews and ratings"",""Discount codes and coupons"",""Email marketing opt-in""],""constraints"":[""p99 checkout latency < 300 ms at 100 rps"",""Zero duplicate charges (idempotency enforced)"",""Inventory must never go negative (optimistic locking)"",""All secrets via env vars — nothing hardcoded"",""TypeScript strict mode; no implicit any""]}","[{""actor"":""SHOPPER"",""step"":""Lands on homepage → browses catalog → filters by category""},{""actor"":""SHOPPER"",""step"":""Views product page → adds to cart → cart badge updates""},{""actor"":""SHOPPER"",""step"":""Opens cart → reviews items → clicks Checkout""},{""actor"":""SYSTEM"",""step"":""Stripe Checkout session created with idempotency key""},{""actor"":""SHOPPER"",""step"":""Enters card details → payment confirmed""},{""actor"":""SYSTEM"",""step"":""Webhook fires → order created → inventory decremented → email sent""},{""actor"":""SHOPPER"",""step"":""Redirect to order confirmation page with order ID""},{""actor"":""ADMIN"",""step"":""Sees new order in dashboard → updates status to Shipped""}]","[""Payment succeeds but webhook delivery fails → order not created"",""User navigates back after payment → prevent second checkout"",""Two users buy last item → one must receive a stock error"",""Session expires mid-checkout → cart preserved, user re-authenticated""]","{""CLIENT LAYER"":[""Next.js App Router"",""React Server Components"",""Client Components (cart, forms)""],""APPLICATION LAYER"":[""API Routes (REST)"",""NextAuth.js v5"",""Prisma ORM + Zod""],""DATA LAYER"":[""PostgreSQL 16 (primary)"",""Redis 7 (sessions)"",""Cloudinary (images)""]}","[""Browser → HTTPS/REST → Next.js API Routes"",""Next.js → Prisma Client → PostgreSQL"",""Next.js → ioredis → Redis"",""Next.js → Stripe SDK → Stripe API"",""Stripe Webhook → HTTPS POST → /api/webhooks/stripe""]","[{""table"":""users"",""columns"":""id, email, password_hash, role, created_at""},{""table"":""products"",""columns"":""id, name, slug, price, stock_qty, category_id, images""},{""table"":""carts"",""columns"":""id, user_id (nullable), session_id, expires_at""},{""table"":""cart_items"",""columns"":""id, cart_id, product_id, quantity""},{""table"":""orders"",""columns"":""id, user_id, stripe_pi_id, status, total, created_at""},{""table"":""order_items"",""columns"":""id, order_id, product_id, qty, price_snapshot""}]","[{""method"":""POST"",""path"":""/api/auth/register"",""description"":""Register user with email + password""},{""method"":""POST"",""path"":""/api/auth/login"",""description"":""Return JWT; set HttpOnly cookie""},{""method"":""GET"",""path"":""/api/products"",""description"":""List products with search + filter""},{""method"":""POST"",""path"":""/api/cart/items"",""description"":""Add item; returns updated cart""},{""method"":""POST"",""path"":""/api/checkout"",""description"":""Create Stripe CheckoutSession""},{""method"":""POST"",""path"":""/api/webhooks/stripe"",""description"":""Handle Stripe events idempotently""},{""method"":""GET"",""path"":""/api/orders/:id"",""description"":""Fetch order by ID (auth required)""}]","[""cartflow/"",""├─ src/"",""│  ├─ app/"",""│  │  ├─ (auth)/login/page.tsx"",""│  │  ├─ (shop)/products/[slug]/page.tsx"",""│  │  ├─ (admin)/dashboard/page.tsx"",""│  │  └─ api/checkout/route.ts"",""│  ├─ components/ui/ — shadcn primitives"",""│  ├─ lib/prisma.ts, redis.ts, stripe.ts"",""│  └─ types/"",""├─ prisma/schema.prisma"",""└─ .env.local""]","[{""label"":""Components"",""value"":""PascalCase — ProductCard.tsx""},{""label"":""API routes"",""value"":""kebab-case — /api/cart-items""},{""label"":""Hooks"",""value"":""use prefix — useCartStore""},{""label"":""DB functions"",""value"":""verb+noun — createOrder, findProductBySlug""}]","[{""question"":""How should I start?"",""answer"":""Read every required section in this Learning Hub, then move to the Engineering Workspace to plan your build before writing code.""},{""question"":""How much prior knowledge is required?"",""answer"":""Comfort with React, TypeScript basics, and any relational database is enough — the project teaches the e-commerce-specific patterns.""},{""question"":""What if I get stuck?"",""answer"":""Use the AI Mentor in the Engineering Workspace, check the Resources tab for reference docs, or ask in Discussion.""},{""question"":""Should I build a mobile-responsive UI?"",""answer"":""Yes — the automated test suite includes viewport checks at 375px and 1280px widths.""},{""question"":""Can I use a different tech stack?"",""answer"":""The guided lessons and code reviews assume Next.js/PostgreSQL/Stripe/Redis, so we recommend sticking with the prescribed stack for this project.""},{""question"":""How are projects reviewed?"",""answer"":""The AI Engineering Review evaluates your Engineering Plan answers, then a final human review checks your deployed submission against the acceptance criteria.""}]","[{""name"":""Product Requirements Document (PRD)"",""type"":""PDF"",""size"":""2.4 MB"",""downloads"":""8,420 downloads"",""category"":""Planning""},{""name"":""Business Requirements Document (BRD)"",""type"":""PDF"",""size"":""1.8 MB"",""downloads"":""6,180 downloads"",""category"":""Planning""},{""name"":""High-Level Design (HLD)"",""type"":""PDF"",""size"":""3.2 MB"",""downloads"":""7,240 downloads"",""category"":""Architecture""},{""name"":""System Architecture Diagram"",""type"":""PNG"",""size"":""1.2 MB"",""downloads"":""9,100 downloads"",""category"":""Architecture""},{""name"":""Entity-Relationship (ER) Diagram"",""type"":""PNG"",""size"":""850 KB"",""downloads"":""7,680 downloads"",""category"":""Database""},{""name"":""Database Schema"",""type"":""SQL"",""size"":""24 KB"",""downloads"":""11,200 downloads"",""category"":""Database""},{""name"":""API Documentation (OpenAPI 3.0)"",""type"":""YAML"",""size"":""48 KB"",""downloads"":""8,940 downloads"",""category"":""API""},{""name"":""Postman Collection"",""type"":""JSON"",""size"":""128 KB"",""downloads"":""10,400 downloads"",""category"":""API""},{""name"":""Figma Design File"",""type"":""Figma"",""size"":""18 MB"",""downloads"":""14,800 downloads"",""category"":""Design""},{""name"":""Starter Code Repository"",""type"":""ZIP"",""size"":""2.8 MB"",""downloads"":""12,100 downloads"",""category"":""Code""},{""name"":""Final Source Code"",""type"":""ZIP"",""size"":""8.4 MB"",""downloads"":""11,800 downloads"",""category"":""Code""},{""name"":""Deployment Guide"",""type"":""PDF"",""size"":""1.1 MB"",""downloads"":""9,200 downloads"",""category"":""DevOps""},{""name"":""Environment Variables Template"",""type"":""ENV"",""size"":""4 KB"",""downloads"":""13,400 downloads"",""category"":""DevOps""}]"
"realtime-chat","Real-Time Chat App with Socket.io, Redis & React","Engineer a scalable chat platform with rooms, direct messaging, file sharing, presence indicators, and full message history.","Full Stack","/images/projects/realtime-chat/thumbnail.png","TRUE","React;Socket.io;Node.js;Redis;MongoDB","Advanced","4.8","1920","74","38h 15m","8,400","Priya Sharma","Principal Engineer at Twilio","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ai-resume-builder","AI-Powered Resume Builder with OpenAI & FastAPI","Create an intelligent resume generator that analyzes job descriptions, tailors content using GPT-4, and exports polished PDFs.","AI / ML","/images/projects/ai-resume-builder/thumbnail.png","TRUE","Python;FastAPI;OpenAI;React;PostgreSQL","Intermediate","4.9","3102","56","28h 45m","15,200","Marcus Johnson","ML Engineer, ex-OpenAI","","","","","","","","","","","","","","","","","","","","","","","","","",""
"netflix-clone","Netflix Clone with React, Firebase & TMDb API","Build a full streaming platform UI with authentication, movie browsing, search, trailers, and personalized watchlists.","Frontend","/images/projects/netflix-clone/thumbnail.png","TRUE","React;Firebase;Tailwind CSS;TypeScript","Beginner","4.7","4210","48","22h 10m","28,500","Sai Krishnan","Frontend Lead, ex-Netflix","","","","","","","","","","","","","","","","","","","","","","","","","",""
"microservices-architecture","Microservices Architecture with Docker, Kubernetes & Node.js","Design and deploy a microservices system with service discovery, load balancing, API gateway, and a full observability stack.","Cloud / DevOps","/images/projects/microservices-architecture/thumbnail.png","TRUE","Docker;Kubernetes;Node.js;gRPC;Prometheus","Advanced","4.8","1544","108","54h 20m","6,800","Elena Volkov","Staff SRE, ex-Google","","","","","","","","","","","","","","","","","","","","","","","","","",""
"social-media-dashboard","Social Media Dashboard with React, GraphQL & MongoDB","Engineer a full-featured analytics dashboard with real-time updates, interactive charts, team management, and reporting.","Full Stack","/images/projects/social-media-dashboard/thumbnail.png","TRUE","React;GraphQL;Apollo;MongoDB;Chart.js","Intermediate","4.7","2180","68","34h 50m","9,900","David Kim","Full-Stack Architect","","","","","","","","","","","","","","","","","","","","","","","","","",""
"task-management-api","Task Management REST API with Express & MongoDB","Build a production-grade backend service with authentication, role-based access control, rate limiting, and background job queues.","Backend","/images/projects/task-management-api/thumbnail.png","TRUE","Node.js;Express;MongoDB;JWT;BullMQ","Intermediate","4.6","980","52","26h 10m","5,200","Rahul Nair","Backend Engineer, ex-Amazon","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fitness-tracker-mobile","Fitness Tracker Mobile App with React Native & HealthKit","Create a cross-platform fitness app with workout logging, step tracking, health data sync, and social challenges.","Mobile","/images/projects/fitness-tracker-mobile/thumbnail.png","TRUE","React Native;TypeScript;HealthKit;Firebase","Intermediate","4.5","760","60","30h 40m","4,100","Ana Rodrigues","Mobile Lead, ex-Strava","","","","","","","","","","","","","","","","","","","","","","","","","",""
"nft-marketplace","NFT Marketplace with Solidity, Hardhat & Ethers.js","Ship a full on-chain marketplace with smart contract minting, royalties, auctions, and a wallet-connected frontend.","Blockchain","/images/projects/nft-marketplace/thumbnail.png","TRUE","Solidity;Hardhat;Ethers.js;React;IPFS","Advanced","4.6","540","64","36h 20m","3,000","Jonas Weber","Smart Contract Engineer","","","","","","","","","","","","","","","","","","","","","","","","","",""
"vulnerability-scanner","Automated Vulnerability Scanner with Python & OWASP ZAP","Build a security scanning pipeline that crawls web apps, flags OWASP Top 10 issues, and generates remediation reports.","Cyber Security","/images/projects/vulnerability-scanner/thumbnail.png","TRUE","Python;OWASP ZAP;Docker;CI/CD","Advanced","4.7","410","44","24h 30m","2,600","Meera Iyer","AppSec Engineer","","","","","","","","","","","","","","","","","","","","","","","","","",""
